MCC,MNC3,Operator,Code
208,1,Orange,20801
208,2,Orange,20802
208,3,MobiquiThings,20803
208,4,Sisteer (MVNE),20804
208,5,Globalstar Europe,20805
208,6,Globalstar Europe,20806
208,7,Globalstar Europe,20807
208,8,SFR (achat de Completel),20808
208,9,SFR,20909
208,10,SFR,20810
208,11,SFR,20811
208,12,Hewlett-Packard France4,20812
208,13,SFR,20813
208,14,RFF,20814
208,15,Free mobile,20815
208,16,Free mobile,20816
208,17,Legos (MVNO)7,20817
208,18,Voxbone4,20818
208,19,Altitude infrastructure,20819
208,20,Bouygues Telecom,20820
208,21,Bouygues Telecom,20821
208,22,Transatel (MVNE),20822
208,23,Omea Telecom (MVNO),20823
208,24,MobiquiThings (MVNO/MVNE),20824
208,25,Lycamobile (MVNO),20825
208,26,EI Telecom (MVNO),20826
208,27,Coriolis Télécom,20827
208,28,AIF,20828
208,29,International Mobile Communication,20829
208,30,Symacom (MVNO),20830
208,31,Mundio Mobile (MVNE),20831
208,35,Free mobile,20835
208,88,Bouygues Telecom,20888
208,89,Fondation b-com,20889
208,90,Association Images & Réseaux,20890
208,91,Orange,20891
208,92,,20892
208,93,Thales communications,20893
208,94,Halys,20894
208,95,Orange,20895
208,96,Axione,20896
208,97,Thales communications,20897
208,98,Air France,20898